,abstract,author,download_number,field,foundation,issue,keyword,number,organization,page,page_number,size,title,year
1225,"本文结合某射频仿真实验室转台改造精密工程测量测设过程,介绍仿真实验室转台中心精密工程测量的作业方法及主要精度指标,指出确保放样质量的措施,为类似精密工程测量提供参考。","['王晓红', '陈柱', '耿鑫', '黄明华']",78,['自然地理学和测绘学'],[],1,"['仿真转台', '精密工程测量', '放样', '精度指标']",12,"['贵州大学林学院', '贵州天地通科技有限公司', '贵阳黔坤建设有限责任公司']",44-47,4,189K,仿真转台精密工程测量作业方法及精度探讨,2011
1226,"乌当大、小麻窝断裂中的红花园组硅质岩呈团块状、透镜状、不规则状产出。野外观察和显微镜下鉴定表明这些硅质岩可能为交代作用形成。常量元素分析表明硅质岩以SiO2为主,其他含量较低。通过岩石显微镜下研究、化学全分析、微量元素分析、稀土元素分析,初步推测:该区硅质岩的形成是含大量硅质的热液活动作用于红花园组的生物碎屑灰岩,发生SiO2等交代生物碎屑灰岩的产物。","['孙挪亚', '杜胜江', '陈睿', '孟勇', '覃顺桥', '聂爱国']",134,['地质学'],['贵州大学国家大学生创新性实验计划项目资助(2009)'],1,"['硅质岩', '断层', '热液', '交代作用', '乌当教学实习基地']",13,['贵州大学资源与环境工程学院'],48-52+58,6,355K,贵阳乌当教学实习基地红花园组硅质岩成因的初步研究,2011
1227,"贵州二叠系锰矿主要以碳酸锰和氧化锰矿石为主,主要分布于遵义—黔西—纳雍—水城一带的台沟相内,对其形成时代一直以来都有争议。笔者通过对该区锰矿沉积特征及其与峨眉山玄武岩的接触关系等来探讨贵州二叠系锰矿成矿时代,认为贵州二叠系锰矿成矿时代属于中二叠世茅口晚期。","['程玛莉', '魏怀瑞', '刘坤', '高军波', '杨瑞东']",299,"['矿业工程', '地质学']",['贵州大学博士点建设项目'],1,"['成矿时代', '沉积特征', '锰矿', '二叠系', '贵州']",14,['贵州大学资源与环境工程学院'],53-58,6,914K,贵州二叠系锰矿沉积特征及成矿时代探讨,2011
1228,"锦屏隆里至黎平古帮地区,青白口纪末南华纪早期沉积作用特征可概括为碎屑流-浊流-悬浮沉积、震积岩和冰碛岩(包括水下泥石流)三个系列,文中讨论了隆里组中下部发育的细砾岩波痕,指出白土地砂体为南华纪初因成冰期来临海平面下降而形成的特殊性地区沉积建造,即长安成冰期开始时低水位氧化环境下的斜坡扇,该砂体常发育与金矿化有关的硅化、硫化物矿化及其它蚀变特征,对寻找蚀变岩型矿产资源具有较大意义。","['周太明', '杨光忠']",75,['地质学'],[],1,"['沉积作用', '砾岩波痕', '白土地砂体', '环境演变', '黔东南']",15,['贵州省地矿局101地质队'],59-62+66,5,331K,锦屏隆里至黎平古帮地区青白口纪末南华纪早期沉积作用特征,2011
1229,"通过向H08钢中添加微量的铈和低熔点元素锡和铅,研究不同铈含量对不同含锡/铅钢的性能的影响。试验表明加入铈的钢比不加铈的钢的强度和韧性有普遍提高,抑制晶粒的长大,改善了含锡/铅钢的断裂机制。同时不同含锡/铅钢存在一个较优的稀土铈的加入量。","['李国友', '张金柱']",66,['金属学及金属工艺'],['国家自然科学基金项目(50474094)'],1,"['铈', '锡', '铅', '强度', '韧性']",16,['贵州大学材料与冶金学院'],63-66,4,350K,铈对含锡/铅钢的力学性能影响,2011
1230,"本文利用Fluent软件分析了DST3型号管带式散热器型号参数对散热散热性能的影响,优选了散热器参数,经实验验证优选参数散热器的散热效率得到了提高。","['张志强', '李家春', '赵先锋', '何林']",204,['汽车工业'],['贵州省科技攻关项目基金资助(黔科GY字[2010]3037号)'],1,"['散热器', '热力学分析', '优化设计', 'fluent软件']",17,['贵州大学机械工程学院'],67-69,3,227K,管带式散热器热力学分析及参数优选设计,2011
1231,"在超宽带通信系统中,满足FCC频谱功率限制的信号的功率谱密度极低,类似白噪声,这对非合作侦收方而言,加大了其对信号的检测难度。针对这一问题,本文提出一种基于离散小波变换的检测方法。首先对仿真出来的OFDM-UWB信号在噪声干扰条件下进行小波变换与傅里叶变换,然后在不同的信噪比条件下对信号的两种变换进行对比仿真。仿真结果表明:在信噪比很低的情况下,小波变换相比于傅里叶变换而言,具有很好的信号检测特性。","['陈小波', '陈红', '贾占彪']",81,['电信技术'],[],1,"['超宽带', '离散小波变换', '信号检测']",18,['解放军电子工程学院'],70-73,4,445K,基于离散小波变换的超宽带信号检测,2011
1232,"基于电压源换流器的柔性直流输电与传统直流输电相比,在运行的灵活性和可靠性方面具有明显优势。常规PI调节器为线性控制,使系统性能受到影响,对此,采用在电流环作为内环,功率环作为外环的双闭环传统控制方式基础上,内环采用输入-输出反馈线性化的方法对换流器的非线性耦合模型进行线性化和解偶,从而将复杂的非线性系统转化为线性系统控制问题。采用Matlab/Simulink软件进行了仿真,验证所设计控制方式的有效性。",['严尔梅'],162,['电力工业'],[],1,"['VSC-HVDC', '解耦', 'MATLAB', '反馈线性化']",19,['贵州电网公司输电运行检修分公司'],74-78,5,454K,基于电压源换流器的柔性直流输电系统非线性控制,2011
1233,"针对网络服务商提供视频服务部署成本过高问题,提出一种提供弹性服务的方法。首先,根据抽样原理建立不同点播时段请求到达率的预测模型;在此基础上应用流模型、微分方程稳定性理论和信号博弈原理建立了系统提供弹性服务的方法.该方法能够有效降低服务商的部署成本,提高系统的可扩展性和视频分发质量;最后通过仿真实验验证了提出方法的可行性.","['王芳', '李泽平']",121,['互联网技术'],"['国家自然科学基金(10771042)', '贵州大学引进人才科研项目(贵大人基合字[2010]034)']",1,"['视频分发', '可扩展性', '抽样调查', '信号博弈']",20,['贵州大学理学院'],79-83+87,6,268K,视频分发技术研究,2011
1234,"结合救援机器人作业环境的要求,开发出基于客户端/服务器模式的远程控制平台。该平台实现了通过无线网络实时传输各类数据和控制命令,客户端再现了机器人的工作环境和状态。并在此基础上进行了机器人实时操作测试。从测试实验结果可以看到,目前基于无线局域网进行机器人的遥操作是可行的。","['唐红丽', '谢晓尧']",121,['自动化技术'],['贵州大学研究生教育创新基金(校研理工2010030)'],1,"['遥操作', '救援机器人', '远程控制', '无线局域网']",21,"['贵州大学计算机科学与信息学院', '贵州省信息与计算科学重点实验室']",84-87,4,306K,救援环境下基于遥操作的机器人控制系统研究,2011
1235,"以电化学传感器为核心的便携式烟气监测系统在使用中易受其他气体的干扰,造成监测结果误差较大;本文将反射式光纤传感技术、紫外吸收光谱方法、光纤光谱仪和计算机数据处理技术相结合,设计出能检测SO2气体的便携式烟气检测系统,经分析光电探测器的暗电流限制最低检测限,SO2检测限分别为2 mg/m3.","['李玉金', '曲晓英', '戎佳敏', '王显龙', '宋源']",154,['自动化技术'],"['贵州大学青年基金项目资助(X082002)', '贵州大学SRT字项目资助[(2009)133号]']",1,"['光纤传感', '在线监测', '紫外吸收光谱']",22,"['贵州大学理学院', '贵州民族学院理学院']",88-90+100,4,267K,紫外吸收光谱式SO2光纤传感器的设计,2011
1236,"以C8051F340单片机为核心,提出一套精确高效的、节能的机房温度控制解决方案。根据实时采集的机房内外的温湿度对机房内的散热器和空调进行智能控制,从而将机房的温湿度控制在合适的范围内,保证机房的安全和设备的正常运行,弥补了传统机房监控系统在无人值守和节约能源方面的空缺,具有一定的创新性和使用价值。","['庄记发', '姚凯学']",42,['自动化技术'],[],1,"['C8051F340', '温度', '湿度', '节能']",23,['贵州大学计算机科学与信息学院'],91-95,5,429K,基于C8051F340的联动控制器的研究与设计,2011
1237,"通过对黔东南州民族体育场设计思路的介绍,探索了地域性元素在大型公共建筑中的一种设计方法。",['周可'],57,['建筑科学与工程'],[],1,"['体育场', '地域性', '苗族', '侗族']",24,['贵阳建筑勘察设计有限公司'],96-100,5,586K,传统与现代的结合——黔东南州民族体育场设计,2011
1238,"框架结构、框架—剪力墙结构设计通常未考虑非承重填充墙对结构刚度的贡献,计算地震作用时,使地震影响系数中结构自振周期乘以周期折减系数来进行折减,从而使地震力放大。算例表明,周期折减系数减小0.1,框架结构和框架—剪力墙结构地震力分别增大约10%、5%-7%,层间位移角分别增大约11%、10%.周期折减系数取值不同不会影响上述两种结构的自振周期。建议,当填充墙较多时,框架结构和框架—剪力墙结构周期折减系数分别取0.65、0.75;填充墙较少时,周期折减系数分别取0.75、0.85.","['卢亚琴', '马克俭']",285,['建筑科学与工程'],['国家自然科学基金(50968004)'],1,"['周期折减系数', '自振周期', '地震力', '层间位移角', '结构体系']",25,"['贵州大学空间结构研究中心', '湖南大学土木工程学院']",101-103+107,4,400K,周期折减系数对地震作用的影响,2011
1239,"对贵阳奥体中心体育场大悬挑预应力钢屋盖进行地震作用下的动力稳定性进行分析。考虑了x向地震、y向地震、z向地震和xyz三向耦合四种情况,计及了结构几何非线性影响。分析发现水平纵向的动力失稳荷载与水平径向的动力失稳荷载相比降低显著。在竖向地震作用下结构的失稳荷载比水平纵向地震作用时的失稳荷载有所增加。在三向地震作用下,结构的失稳荷载最小。","['夏绍全', '马克俭', '肖建春', '胡滨']",129,['建筑科学与工程'],['贵州省科技厅工业攻关相目([2010]3002)'],1,"['动力稳定', '空间网格结构', '预应力', '大悬挑']",26,"['广东工业大学土木工程学院', '贵州大学空间结构研究中心']",104-107,4,296K,大悬挑预应力空间结构动力稳定分析——以贵阳奥体中心体育场为例,2011
1240,"依据中铁国际城项目实际情况,对几种热泵方案进行技术指标测定,采用1-9标度法评选出最优方案,并以项目实例测算了优选方案的经济指标。经分析表明,该项目采用地下水源热泵或地表水源热泵是技术成熟经济良好的节能方案。","['余艺涛', '郭峰']",99,['建筑科学与工程'],"['省科技厅社会发展攻关项目(黔科合SZ字【2009】3007号)', '贵州大学研究生创新基金(校研理工2010048)']",1,"['热泵', '经济技术', '节能']",27,"['贵州大学土木建筑工程学院', '贵州大学管理学院']",108-110+128,4,101K,应用价值工程原理选择建筑节能方案,2011
1241,"论述了青岛高层建筑楼顶的发展进程与分布特点,归纳有城市高层楼顶的六种形式,再以实例给予分析。在对青岛城市高层楼顶地研究中,发现它们楼顶形式表层结构的单一化和同化的面貌,以及缺乏地域文化特点的不足之处。借此在反思中,尝试用地域化的观点来解答青岛高层楼顶形式的深层结构中文化的缺省。","['刘伟', '刘春燕']",35,['建筑科学与工程'],['原青岛大学校级教学研究资助项目(立项批号:JY0927)'],1,"['高层建筑', '楼顶形式', '地域化', '同化']",28,"['西南民族大学城市规划与建筑学院', '西南民族大学艺术学院']",111-116,6,701K,青岛城市高层建筑楼顶形式的述评与思考,2011
1242,"短撑杆式张弦桁架是用短撑杆连接梭形桁架梁与体外拉索形成的自平衡结构,是近几年研发的新型张弦结构体系之一。本文简要介绍了该新结构的特点和优点,采用有限元法对120 m大跨度短撑杆式张弦桁架结构进行分析,详细讨论了矢跨比、垂跨比和撑杆数目等参数对结构受力性能的影响。分析表明,矢跨比的增大提高了结构刚度,改善了结构的变形和受力,建议矢跨比取0.08-0.12;垂跨比的增大,改善了结构的应力分布,建议垂跨比不宜低于0.08;撑杆的数目对结构的静力性能改善意义不大,建议取为4-8个。本文结论可为类似工程应用提供参考。","['黄建华', '张华刚', '张锴', '姜岚']",66,['建筑科学与工程'],['贵州大学研究生创新基金资助(校研理工2010001)'],1,"['短撑杆式张弦桁架', '静力性能', '有限元', '刚度']",29,['贵州大学空间结构研究中心'],117-121,5,543K,大跨度短撑杆式张弦桁架结构的外形对受力性能的影响分析,2011
1243,"采用数值模拟的方法,运用FLAC3D分析软件对盐岩地下储气库运行过程中的长期稳定性进行了研究。结果表明:提高内压可以有效减小储库围岩的位移和抑制洞周塑性区的扩展。因此,在储气库运行期间应在储库允许的范围内适当提高其运行压力,尽量缩短其在低压下的运行时间。",['李后荣'],171,['石油天然气工业'],[],1,"['盐岩', '储气库', '稳定性', '数值分析']",30,['中冶赛迪工程技术股份有限公司'],122-125,4,763K,盐岩地下储气库稳定性分析,2011
