,abstract,author,download_number,field,foundation,issue,keyword,number,organization,page,page_number,size,title,year
695,"食双星是国际上比较热点的研究课题之一。为分析研究相接食双星GR Boo极小时刻的周期变化,本文收集整理了迄今为止食双星GR Boo所有的极小时刻,并对GR Boo的极小时刻(HJDmin)和周期(EPOCH)进行了线性拟合得到相应的一次历元公式,再通过该历元公式计算得到了其对应的残差(O-C)。通过对GR Boo极小时刻的线性拟合残差与周期的分析,首次发现GR Boo的周期是减少的,其对应的周期变化(减少)率为(-2.3±0.2)×10-7天每年,最后分析讨论GR Boo周期变化的物理机制。","['皮青峰', '张立云', '程长青']",32,['天文学'],"['国家自然科学基金项目资助(10978010,11263001)', '贵州大学教育教学改革研究项目资助(JG2013083)']",6,"['相接食双星', '极小时刻', '周期变化', '历元公式', '物理机制']",9,"['贵州大学理学院', '国家天文台-贵州大学天文联合研究中心']",35-38,4,189K,相接食双星GR Boo极小时刻的分析研究,2013
696,"选择昆明市作为研究区,以2011年Landsat TM影像为基础数据,通过分析研究区地形特征,提出把研究区进行分区并分别确定高程、坡度决策规则的改进型决策树分类方法,并结合分析的光谱特征规律,在决策分类中引进了比值型指数、NDVI值,构建基于光谱特征和地学辅助知识的决策树信息提取模型,最后对传统计算机自动监督分类方法与决策树信息提取模型方法解译的昆明市土地利用数据的精度进行评价。研究结果表明:基于改进的决策树分类方法进行遥感信息提取的昆明市土地利用数据的Kappa指数比传统监督分类方法提高了0.234,分类精度提高了17.03%;从各种地类类型的测试样本点平均正确率来看,改进的决策树分类方法比传统监督分类方法提高了21%,大大提高了Landsat TM遥感数据分类的精确度和可靠性。","['曾维军', '侯明明', '杨伟']",159,"['自然地理学和测绘学', '农业经济']",['国家自然科学基金(31060114)'],6,"['土地利用', '地学信息', '光谱特征', '决策树', '监督分类', '评价']",10,"['昆明理工大学环境科学与工程学院', '中国冶金地质总局昆明地质勘察院']",39-46+52,9,301K,一种改进的决策树分类方法在土地利用信息提取中的应用,2013
697,"晴隆大厂锑矿是西南地区大型锑矿之一。前人已进行过深入的研究,在很多方面已达成共识,但对其成矿流体性质和来源尚有争议。本文通过对大厂锑矿流体包裹体的温度与盐度、密度与压力、包裹体成分和氢氧同位素等的研究,得出大厂锑矿成矿流体属于中低温(129.4~214℃)、低盐度(NaCl)0.18%~3.23%、中等密度(0.93~1.03 g/cm3);流体水化学类型属F--SO42--K+-Ca+型。流体压力为超高压(103.97087836 MPa);成矿流体主要是大气降水形成的地下热水,可能有部分岩浆热液的掺入。","['熊灿娟', '刘建中', '刘帅', '王大福', '杨成富', '王泽鹏', '陈睿']",135,"['地质学', '矿业工程']","['贵州省地矿局重大科研项目资助(黔地矿科[2009]11号)', '中国地质调查局科研项目资助([2013]01-055-002)']",6,"['流体包裹体', '成矿流体', '晴隆大厂锑矿']",11,"['贵州大学资源与环境工程学院', '贵州省地质矿产勘查开发局105地质大队']",47-52,6,402K,晴隆大厂锑矿流体包裹体研究,2013
698,"贵州盘县呼都金矿区是该区继砂锅厂、羊禾地、小尖山金矿发现之后的又一凝灰岩金成矿潜力区,通过已开展的1∶5万土壤化探测量,显示金土壤化探异常较好,针对两处金重点异常区实施地表浅部山地工程和少量钻探工程异常查证,结果显示车家槽子-猴耳包一带和哈树头-田坝头-闭塞一带金矿地表蚀变情况较好,硅化较强烈,推测其深部具有良好的找矿前景。","['邓克勇', '吴波', '邓明秋']",56,"['地质学', '矿业工程']","['贵州省科学技术基金', '黔科合外J字[2011]7001号']",6,"['地质特征', '土壤化探异常', '金矿', '找矿前景', '贵州盘县']",12,['贵州省地质调查院'],53-56+60,5,296K,贵州盘县呼都金矿区成矿地质特征及找矿前景,2013
699,"本文运用锻造分析软件Qform3D对阶梯轴工艺挤压过程进行数值模拟分析,通过比较三种成形工艺方案的挤压平均应力和距离-载荷曲线分布图,确定合理的成形工艺。分析可知,通过减少约束和增大凹模过渡圆角,可显著降低挤压平均应力,对生产实践具有指导意义。","['阳鑫', '袁玉红', '杨宁', '李春龙', '刘志军', '肖敏']",75,['金属学及金属工艺'],['贵州省社发攻关项目资助(黔科合SY字[2012]3097号)'],6,"['阶梯轴', '冷挤压', 'Qform3D', '数值模拟']",13,"['贵州大学机械工程学院', '贵州师范大学机械电气工程学院', '贵州交通职业技术学院机械电子工程系']",57-60,4,260K,阶梯轴挤压工艺设计及数值模拟,2013
700,"根据阶梯孔磁壳零件的结构特点,采用锻造分析软件Qform3D对其冷挤压一次反挤成形方案和改进方案进行数值模拟分析。经工艺分析及参数计算,分两次挤压成形减少了模具对变形材料的约束,增大了金属流动速度,降低了挤压力。因此确定分两次挤压的改进方案为阶梯孔磁壳零件的合理工艺方案,对该零件的生产应用具有重要的指导意义。","['李春龙', '袁玉红', '杨宁', '刘志军', '阳鑫', '肖敏']",28,['金属学及金属工艺'],['贵州省社发攻关项目资助(黔科合SY字[2012]3097号)'],6,"['阶梯孔磁壳', '冷挤压', 'Qform3D', '模拟分析']",14,"['贵州大学机械工程学院', '贵州师范大学机械电气工程学院', '贵州交通职业技术学院机械电子工程系']",61-64,4,295K,阶梯孔磁壳的冷挤压工艺研究,2013
701,"以94%的赤泥和粉煤灰为原料,采用烧结法制备了微晶玻璃,利用XRD、SEM等测试手段分析试样的物相及形貌,根据DTA曲线显示,考查热处理时间对微晶玻璃抗压强度的影响。结果表明:微晶玻璃的主晶相为钙铝黄长石;随着核化和晶化时间的延长,微晶玻璃的抗压强度呈现了先增加后减小的趋势;最佳核化时间为2 h,晶化时间为2 h;最大抗压强度为102.84MPa。","['茆志慧', '陈朝轶', '吕莹璐']",82,['无机化工'],['贵阳市科技局项目(筑科合同[2012205]6-4)'],6,"['赤泥', '粉煤灰', '微晶玻璃', '热处理时间']",15,['贵州大学材料与冶金学院'],65-68,4,370K,热处理时间对赤泥粉煤灰微晶玻璃抗压强度影响,2013
702,"车用气泵为大型车辆提供制动高压气体。当前对气泵的测试是在简易测试台上,由多人操作调节完成性能测试,耗时长,效率低;且受人为因素影响难以保证精度和重复性。采用计算机自动测试系统则可以大大提高检测效率和准确度。采用集成电路器件,设计一种集信号调理、信号放大、AD转换、PID调节电路等一体的测试装置,实现对气泵性能的自动检测,克服人为因素影响、提高检测效率,保证测量精度。取800 rpm和1000 rpm对气泵参数进行多次测试试验表明:测得气泵运行的各参数波动小于均值的5%,重复性小于0.04,系统检测速度快、准确度高、重复性好。","['周兴', '杨宁', '高波', '江万东']",32,['汽车工业'],['云南省质量技术监督局科技计划项目(2008YQK02)'],6,"['车用气泵', '信号调理', '信号采集', 'PID调节']",16,"['云南省计量测试技术研究院', '昆明理工大学信息与自动化学院']",69-73,5,368K,车用气泵性能的计算机自动测试系统研究,2013
703,"可追责的基于身份密码体制可以缓解基于身份密码体制的密钥托管问题:仲裁者根据获取的非法私钥判断其是否由私钥生成器恶意生成。本文针对一种可行的可追责的基于身份密码方案,将其中的零知识证明改为用双线性对运算实现;以此为基础,结合一次性签名方案提出一种具有IND-sID-CCA安全性的可追责的基于身份密码方案,并给出相关证明。","['原志龙', '彭长根', '王伟茹']",27,['电信技术'],"['国家自然科学基金项目(61262073,60963023)', '贵州省自然科学基金项目(20092113)', '贵州省高层次人才科研条件特助经费项目(TZJF-2008年33号)']",6,"['基于身份', '双线性对', '可追责', '可证明安全']",17,"['贵州大学计算机科学与信息学院', '贵州大学理学院']",74-76+90,4,145K,一种安全可追责的基于身份密码方案,2013
704,"非编制作网络中,存储的选择是关键所在,既要考虑网络存储的性能又要考虑存储的安全性、扩展性、维护以及售后服务等。本文主要介绍贵州广播电视台第一个高清专题制作网存储的选型,以及存储的安全性测试。",['李成'],10,['电信技术'],['贵州广播电视台技术项目(项目编号Lz2010-3)'],6,"['存储容量', '带宽', '性能测试', '高清视频', '控制器']",18,['贵州广播电视台'],77-80,4,184K,高清非编制作网带宽和存储容量的设计及测试,2013
705,"本文介绍了QPSK(四相移键控)数字调制/解调技术的原理,建立了一种基于高速硬件描述语言(verilog HDL)的数字式QPSK调制/解调模型,并应用FPGA硬件平台实现了相关的电路设计,给出了基于新一代专业仿真环境Modelsim_ase的系统仿真过程及结果分析。","['房利', '张荣芬', '李良荣']",128,['电信技术'],[],6,"['QPSK', 'FPGA', '调制', '解调']",19,['贵州大学电子信息学院'],81-84,4,299K,QPSK调制/解调电路的verilog HDL模型与功能仿真,2013
706,"随机图G(n,p)模型是随机图理论中最重要的模型之一。该模型中有两个参数n和p,n表示图中的顶点数,p表示图中的任意两个不同顶点之间独立生成边的概率。证明了随机图G(n,p)中存在k-团的临界值为p=n-2k-1;同时证明了随机图G(n,p)中具有k≥3顶点孤立团的连通分量数服从均值λ=e-x-k3/k!的泊松分布;最后,数值实验分析随机图G(n,p)实例中3-团和10-团的相变。数值实验结果表明,实验与理论结果相符。","['卢友军', '许道云']",45,['数学'],['国家自然科学基金项目资助(61262006)'],6,"['随机图', 'k-团', '相变']",20,"['贵州大学理学院', '贵州大学计算机科学与技术学院']",85-90,6,214K,"随机图G(n,p)中k-团的相变性质",2013
707,"传统的中文词义消歧方法是通过观察文本的上下文信息、词性等显性特征建立消歧模型,本文通过对歧义产生原因进行深入的分析,发现词语之间隐含的语法结构、语义信息等也会导致歧义的产生,可以考虑将这些信息加入消歧模型进行消歧。由于《知网》知识库中对词语之间的搭配信息进行了总结,本文借助《知网》提取训练语料库所获取的词语搭配信息的隐性语义特征,结合显性的上下文特征,采用条件随机场的方法进行词义消歧。最后,通过实验进行词义消歧和效果验证,结果表明:本文采用的方法与传统的条件随机场消歧相比,词义消歧的准确率得到了提高。","['黄莹', '陈笑蓉']",64,['计算机软件及计算机应用'],['国家自然科学基金项目资助(61363066)'],6,"['条件随机场', '词义消歧', '机器学习']",21,['贵州大学计算机科学与技术学院'],91-95,5,137K,基于隐特征提取和CRF模型的中文词义消歧,2013
708,"针对在基于脉冲耦合神经网络(PCNN)模型的图像分割中,如何确定合适的网络参数的问题,提出一种基于PCNN的参数自适应图像分割方法。该方法通过设定神经元合适的捕获范围和连接值,综合利用图像像素邻域的灰度信息,结合PCNN网络参数间的相互联系,实现对模型参数自动确定。仿真实验表明,该方法可有效地对不同图像进行自适应分割,与传统的PCNN图像分割方法相比具有一定的优越性。","['汤灿明', '张欣', '杨贝贝', '贺建婷']",82,['计算机软件及计算机应用'],"['国家自然科学基金项目资助(11204046)', '贵州省科技厅工业攻关项目资助(黔科合GY字[2010]3056)']",6,"['参数确定', '自适应', '图像分割', '脉冲耦合神经网络', '类间方差']",22,['贵州大学计算机科学与信息学院'],96-99,4,271K,一种基于PCNN的参数自适应图像分割方法,2013
709,"随着分布式数据库的广泛应用,对电子签章系统有了更多的需求。如何使异地电子签章系统中多个数据库之间的数据保持一致,是该系统的关键性问题。本文结合Web service的特点,设计了异地电子签章系统需求模型,提出了一种异地签章数据之间的一致维护的方案,解决了在该系统应用中的数据同步问题。","['贾俊辉', '曹斌']",25,['计算机软件及计算机应用'],['贵州省经信委中小企业专项资金项目(1116)'],6,"['Web service', '异地电子签章', '数据同步']",23,"['贵州大学计算机科学与信息学院', '贵阳铝镁设计研究院']",100-103,4,156K,基于Web service的异地电子签章数据同步的研究,2013
710,"重介质洗选煤工艺各控制参数如密度、液位、压力,都具有非线性和时变性,并很难建立精确的数学模型。常规PID控制在工业生产中应用广泛,但PID参数需要人工多次整定得到,耗时长、能耗高、效率低;整定过程中影响产品的质量。为了提高洗选煤的整体效益,本文设计了一种基于Fuzzy-PID控制的高精度控制器,它根据PID参数的优化规律,利用模糊控制规则对PID参数进行自动整定。自2011年在云南某洗选煤厂投运结果表明,本控制系统相比原PID控制,简化了控制过程,提高了生产效率,提高了控制精度,提高了产品质量。","['张矿伟', '张少杰', '赵晓霞', '陈焰']",36,"['矿业工程', '自动化技术']",['云南省自然科学基金项目(kks0201103016)'],6,"['Fuzzy-PID', '重介质洗选煤', '自动控制', '控制曲线', '参数自整定']",24,"['昆明理工大学信息工程与自动化学院', '周口职业技术学院机电工程系']",104-106+117,4,242K,基于Fuzzy-PID控制在重介质洗选煤控制系统中的应用,2013
711,"直方图均衡化是图像增强预处理中的一个重要手段,它能有效改善图像显示清晰度或细节、纹理的显示状态。本文主要讨论了一种基于累积分布函数变换法的直方图均衡化处理技术,并给出了数学原理,同时利用MATLAB编程实现,并与利用系统函数均衡化后图像加以对比分析。",['陈蒙'],74,['计算机软件及计算机应用'],[],6,"['均衡化', '累积分布函数', '图像增强', 'MATLAB']",25,['山东医学高等专科学校'],107-109+137,4,293K,一种基于累积分布函数变换法的直方图均衡化图像增强应用研究,2013
712,"通过BP神经网络对简支梁的损伤位置和损伤程度进行了研究。文中首先采用有限元仿真软件ANSYS计算得到不同损伤情况下结构的前两阶固有频率并计算指定点的曲率模态值,并以此为输入参数建立用于识别简支梁损伤的BP网络,最后利用LM算法训练网络来进行损伤检测。结果表明:该方法能有效地对损伤位置及损伤程度进行识别,且对损伤程度进行识别的精确度较高。","['李冬', '曾春平', '马琨', '吴光敏']",37,['自动化技术'],"['国家自然科学基金(KKGA201207006)', '云南省高校结构健康诊断重点实验室(平台建设KKKP201207003)', '云南省中青年学术和技术带头人后备人才培养项目(2008PY013)']",6,"['BP神经网络', '曲率模态', '简支梁', 'ANSYS']",26,['昆明理工大学理学院'],110-113,4,186K,基于曲率模态和BP神经网络的简支梁的损伤识别,2013
713,"在对贵州黔东南吊脚楼村寨进行大量实地调研的基础上,提出西部地区民族聚居区吊脚楼建筑宜推广以砼代木的仿古形式建造,预制混凝土构件工厂化生产的方案。针对原木结构建筑在强度、刚度、耐久性能等方面的弱点,应用ANSYS有限元进行了分析计算,对设计和建安过程的一些关键问题提出了解决方案,并对仿木建筑结构体系的技术经济进行适度分析。","['丁婷', '王红', '丁圣果', '姜宇']",75,['建筑科学与工程'],"['贵州省科学技术基金', '黔科合J字[2011]2014号']",6,"['吊脚楼', '钢筋混凝土结构', '仿木', '工厂化预制']",27,"['贵州大学土木建筑工程学院', '贵阳市安监局']",114-117,4,314K,贵州黔东南吊脚楼民族建筑采用仿木砼结构的应用开发研究,2013
714,"对平面钢管桁架拱采用有限元软件ANSYS进行分析,对影响平面钢管桁架拱平面内稳定性的高跨比、矢跨比、腹杆与弦杆外径的比值等几何参数进行研究,考虑了全跨、半跨竖向均布荷载的荷载效应。分别进行了特征屈曲分析、非线性分析,得到各项几何参数对平面钢管桁架拱的面内稳定承载力的影响程度,找出对平面钢管桁架拱平面内稳定性起控制作用的参数,并通过考虑用钢量得到最经济的参数取值范围。","['刘旭', '黄政华', '黄勇']",59,['建筑科学与工程'],['贵州省科学技术基金黔科合J字[2011]2321号'],6,"['平面钢管桁架拱', '平面内稳定性', '参数分析', '经济性']",28,['贵州大学土木工程学院'],118-121,4,229K,平面钢管桁架拱平面内稳定承载力的参数分析,2013
715,"采用LS-DYNA3D动力有限元程序,建立某小净距隧道的三维模型。通过刚度等效的方法,分析了既有隧道不同钢拱架布置间距情况下既有隧道的动力响应。研究结果表明,随既有隧道钢拱架加固间距的减小,迎爆侧测点振速和位移峰值亦随之增加。建议小净距隧道爆破施工时,既有隧道钢拱架加固间距为0.5~1.0 m。",['孙安华'],64,['公路与水路运输'],['教育部博士点基金(20123514120005)'],6,"['小净距隧道', '爆破荷载', '钢拱架间距']",29,['中建五局第三建设有限公司西北分公司'],122-124,3,185K,爆破荷载下小净距隧道钢拱架加固合理间距研究,2013
716,"本文利用有限元软件ETABS对一栋58层的框筒结构进行计算分析,探讨了单独设置环带对超高层建筑位移、自振周期、刚度比以及内力的影响。通过对比这些数据,找出设置一层环带、二层环带以及多层环带的理想位置。最后,可以得出在抗震设防烈度较低且风荷载较小的地区,完全可以通过设置环带使结构满足规范的各项要求的结论。","['周超', '肖常安']",27,['建筑科学与工程'],[],6,"['框筒结构', '环带', '加强层', '力学性能']",30,['贵州大学土木建筑工程学院'],125-129,5,365K,单独设置环带时对框筒结构力学性能的影响,2013
717,"换乘通道是交通枢纽内部一种或多种交通方式的衔接,具有良好的指引设计和设施设计的通道,既可以改善行人拥堵现象,也可以保证通道的利用率。本文运用仿真软件Anylogic,加入行人微观行为交通特性,对换乘通道行人的行为进行仿真,得到可视结果。分析仿真结果,提出优化设计方案,并用改进的设计方案与原方案同时进行仿真,得到最优的设计方案。","['吴中', '施雯']",338,['公路与水路运输'],[],6,"['换乘通道', '行人', '仿真', '优化']",31,['河海大学土木与交通学院'],130-133,4,213K,基于Anylogic的行人换乘通道入口优化设计,2013
718,"采用ABAQUS软件,建立某大跨软弱围岩隧道的三维模型。结合监控测量数据,研究了隧道开挖扰动区域的时空分布特征。结果表明,拱顶下沉计算值与实测值随时间的变化规律基本一致,均在20 d时趋于稳定。隧道开挖卸荷扰动影响范围在掌子面前方约1.2倍洞跨,掌子面后方拱顶沉降最终稳定时距掌子面距离约为1.5倍洞跨。",['钱发琪'],38,['公路与水路运输'],"['贵州省教育厅青年项目', '黔教高发[2007]321号']",6,"['大跨软岩隧道', '围岩稳定性', '数值模拟']",32,['贵阳市水利交通发展投资(集团)有限公司'],134-137,4,308K,大跨软岩隧道开挖围岩稳定性研究,2013
719,"本文对高校学报合并整合后的发展现状及过程进行了一些分析比较,并结合办刊方向以及栏目设置对如何创办特色期刊进行了探讨。",['王先桃'],48,['出版'],['教育部、财政部十二五重大课题“职教师资素质提高计划”VTNE045号'],6,"['综合性学报', '学术影响力', '专业化发展']",33,['贵州大学学报编辑部'],138-140,3,238K,论合并整合后211大学综合性学报的发展方向——以贵州大学学报(自然版)为例,2013
720,"利用Cauchy-Schwitz不等式给出两个非负矩阵A和B的Hadamard积的谱半径上界的一个新估计式,并与前人给出的结果进行比较。数值例子表明,新估计式在一定条件下改进了现有的结果。",['陈付彬'],28,['数学'],['国家自然科学基金(71161020)'],5,"['非负矩阵', 'Hadamard积', '谱半径']",1,['昆明理工大学津桥学院'],1月3日,3,124K,非负矩阵Hadamard积的谱半径上界的估计,2013
721,"讨论了一类具有非线性传染率的SEIS传染病模型,通过定性分析,得到了传染病最终消失和成为地方病的阈值R0,并讨论了当R0≤1时,无病平衡点的全局渐近稳定性,当R0>1时唯一的地方病平衡点的全局渐近稳定性。","['郭金生', '祝进业', '唐玉玲']",77,['数学'],"['国家自然科学基金(11061017)', '甘肃省自然科学基金(1010RJZA075)']",5,"['传染病模型', '全局稳定性', '非线性传染率']",2,['河西学院数学与统计学院'],4月8日,5,138K,一类具有非线性传染率的SEIS传染病模型的定性分析,2013
722,"图的无圈边染色是图的染色理论中的一个重要问题,2001年,Alon等猜想任意简单图G的无圈边色数都不超过Δ(G)+2,其中Δ(G)为图G的最大顶点度。为了研究该猜想对平面图是否成立,利用差值转移方法,证明了不包含三角形的平面图G的无圈边色数不超过Δ(G)+3.","['张江', '张埂']",32,['数学'],['中央高校基本科研业务费专项基金(LK0103)'],5,"['无圈边染色', '无圈边色数', '平面图', '差值转移法']",3,"['西南交通大学牵引动力国家重点实验室', '重庆大学自动化学院']",9月12日,4,140K,不含3圈的平面图的无圈边染色,2013
723,"本文首先讨论了多个齐次线性方程组有非零公共解的必要条件和充要条件,然后讨论了多个非齐次线性方程组有非零公共解的充要条件。当齐次线性方程组的个数为2时的结论是其特例。","['王安平', '马烁']",54,['数学'],"['湖北省教育科学“十二五”规划2012年度立项课题', '课题编号(2012B310)']",5,"['线性方程组', '非零公共解', '充要条件']",4,"['长江大学工程技术学院', '荆州理工职业学院']",13-15+26,4,127K,多个线性方程组有非零公共解的条件,2013
724,"为筛选出有效防治马铃薯晚疫病和辣椒枯萎病的药剂,采用菌丝生长速率法,测定了6种杀菌剂对马铃薯晚疫病菌和辣椒枯萎病菌的抑菌作用。6种杀菌剂中,25%咪鲜胺EC对2种病原菌的毒力最强,EC50值分别为0.032 mg/L和0.089 mg/L;氟环唑和己唑醇次之;12.5%腈菌唑EC和粉唑醇抑制效果较好;50%甲基硫菌灵WP的毒力最差。25%咪鲜胺EC,氟环唑和己唑醇均可有效抑制2种病原菌的生长,可进一步用于田间试验。","['尹娟', '胡德禹', '贺鸣', '施利', '杨霞']",108,['植物保护'],"['病毒及菌害调控的候选药物及分子靶标', '国家973计划项目(2010CB126105)']",5,"['杀菌剂', '晚疫病', '枯萎病', '室内毒力测定']",5,['贵州大学精细化工研究开发中心'],16-18,3,110K,6种杀菌剂对马铃薯晚疫和辣椒枯萎病菌的室内毒力测定,2013
725,"在微波辐射条件下采用双烧杯装置,首次合成了10种芳氧乙酸,产物结构经IR,1H NMR及元素分析进行了表征。实验表明,该法具有操作安全简便、反应时间短、易纯化及环境友好等优点,是一种有效合成芳氧乙酸的方法。","['苟如虎', '王亚玲', '王喜存', '杨汝栋']",30,['有机化工'],"['国家自然科学基金(29571013)', '甘肃省青年科技基金计划(1107RJYP047)', '甘肃省自然科学基金(ZS021A25006Z)', '甘肃省环保基金(GH200216)', '甘肃民族师范学院的院长基金项目(10-04)']",5,"['微波辐射', '芳氧乙酸', '合成']",6,"['甘肃民族师范学院化学与生命科学系', '兰州大学化学化工学院', '西北师范大学化学化工学院甘肃省高分子材料重点实验室']",19-21+26,4,141K,利用微波辐射高效合成芳氧乙酸的方法研究,2013
726,"本文以2,2-二[5’-(2’-甲酰呋喃基)]丙烷(1)分别与N,N’-(2-胺基苯基)-2,6-二甲酰亚胺吡啶(2)和N,N’-(3-胺基苯基)-2,6-二甲酰亚胺吡啶(3)进行缩合,得到[2+2]型Schiff碱大环化合物L1和[1+1]型Schiff碱大环化合物L2,并采用元素分析、1H NMR、IR和质谱手段对Schiff碱大环化合物L1和L2进行了表征。","['邓雅欣', '欧敏', '王芳芳', '朱必学']",58,"['化学', '有机化工']","['国家自然科学基金(21061003)', '贵州省国际合作项目基金[(2009)700104]']",5,"['Schiff碱', '大环化合物', '合成']",7,['贵州省大环化学及超分子化学重点实验室'],22-26,5,251K,[2+2]和[1+1]型Schiff碱大环化合物的合成及表征,2013
727,"那哥铜多金属矿床位于江南造山带西南段,赋矿地层为青白口系甲路组和乌叶组,矿体产于近东西向的F2断裂破碎带中,呈脉状和透镜状产出。矿石矿物主要为方铅矿、黄铜矿、黄铁矿和闪锌矿,脉石矿物为石英、绢云母、白云母、方解石、绿泥石等。通过采集与成矿同期的白云母样品进行Ar-Ar年龄测定,结果表明成矿年龄为413 Ma,说明那哥铜多金属矿床成矿作用发生于加里东期,成矿作用与区内所谓的地幔柱活动无直接的成因关系。","['顾尚义', '杜定全', '孙士军', '杨光治']",90,"['地质学', '矿业工程']",['贵州省国土资源厅地勘基金项目(2008)'],5,"['多金属矿床', '白云母', 'Ar-Ar同位素年龄', '加里东期', '那哥']",8,['贵州大学资源与环境工程学院'],27-30+65,5,282K,黔东南那哥铜多金属矿床成矿年代学研究,2013
728,"采用多标准分析法进行水电站选址,主要是以层次分析法和等级区分法作为手段,结合高精度卫星图片、数字高程模型、历史水文资料等数据,使用地理信息系统,对选址流域的人口居住地、地质情况、汇水区域、水位落差等条件进行综合分析,并将分析结果按需求权重进行分类,模拟计算出各个可行方案的水库汇水的面积、坝宽、坝高、年平均发电量、以及建设成本等结果,为水电项目大坝选址提供直观的对比和依据。","['任曦', '康天科']",653,"['水利水电工程', '电力工业']",[],5,"['多标准分析', '层次分析法', '地理信息系统', '遥感']",9,['贵州省电力设计研究院'],31-38,8,425K,多标准分析法(MCA)在水电站选址项目中的应用,2013
729,"贵州寒武系刺细胞动物丰富,有4属7种及1未定种,包括帐篷螺Scenella Billings,1872、寒武线螺Cambbrovitus Mao,Zhao,Yu&Qian,1992、拜如尼亚虫Byronia Mathew,1899、楔叶形虫Sphenothallus Hall,1847共4属化石,主要层位由老到新为遵义松林中南村牛蹄塘组,剑河八郎清虚洞组、凯里组,为中国寒武系最主要的产出地区。Sphenothallus及Byronia的研究尤为详尽,其中Sphenothallus为一个两侧具管状加厚物,具吸盘的长细锥管状刺细胞动物,具有有性及无性生殖等特征。贵州寒武系刺细胞动物的研究将促进我国及全球寒武系刺细胞动物的研究。","['张培兴', '刘帅', '罗绣春', '潘永金']",58,"['生物学', '地质学']","['国家重点基础研究发展规划(973计划)项目(2013CB835002)', '贵州大学研究生创新基金(理工2013057)联合资助']",5,"['贵州寒武系', '刺细胞动物', 'Sphenothallus', 'Byronia', '演化']",10,['贵州大学资源与环境工程学院'],39-42,4,244K,贵州寒武系刺细胞动物研究动态,2013
730,"贵州戈塘金矿为赋存于中二叠统茅口组与上二叠统龙潭组之间构造蚀变体(SBT)中的层状大型金矿床,本文对赋矿岩石SBT和矿体围岩的地球化学特征进行研究,结果表明:SBT表现为强烈的角砾岩化、硅化、去碳酸盐化;SBT具有低Ba、Be、Rb、Co、Ni、Ga和较低的稀土元素含量,稀土元素配分曲线为轻稀土富集的平缓型右倾型曲线,四分组效应明显;SBT的U/Th值均大于1,其原始成分应为陆缘碎屑物质,为构造热液蚀变作用的结果,热液可能为深源流体演化而成;SBT中Si、Al、Au、As、Sb显著富集,成矿元素可能来自下地壳或更深的源区。","['刘帅', '张培兴', '熊灿娟', '王大福', '刘建中']",111,"['地质学', '矿业工程']",['中国地质调查局项目资助(12120113094400)'],5,"['戈塘金矿', '构造蚀变体(SBT)', '地球化学']",11,"['贵州大学资源与环境工程学院', '贵州省地质矿产勘查开发局105地质队']",43-48,6,238K,贵州戈塘金矿SBT地球化学研究,2013
731,"瓦斯抽采钻孔参数的改进和优化是提高瓦斯抽放效率、进行瓦斯防治比较重要的一个环节。本文以贵州省水城矿区某煤矿为例,对钻孔直径、抽放负压两个钻孔抽采参数,采用FLUENT数值模拟软件进行了优化研究。最后提出优化的最优值,改善该煤矿的瓦斯抽采效果。本文的研究成果,对贵州其它煤矿进行瓦斯治理也提供了一个有益的参考。","['郁钟铭', '韩修彪', '艾德春', '彭斌', '司中应']",101,"['矿业工程', '安全科学与灾害防治']",['六盘水市工业攻关计划项目(52020-2012-01-09-09)'],5,"['水城矿区', '钻孔抽采参数', '优化研究']",12,"['六盘水师范学院', '贵州大学矿业学院']",49-52,4,189K,基于FLUENT软件对水城矿区某煤矿钻孔抽采参数的优化研究,2013
732,"利用XRD,XRF,ICP-MS,结合电子探针与显微镜镜下观察,查明了该矿石的矿物成分组成、化学成分组成及钼元素的赋存状态。矿物成分为黄铁矿、辉钼矿,脉石矿物为石英、长石,含有少量方解石、白云石。钼元素的赋存状态主要跟硫元素形成辉钼矿,与黄铁矿共生。两者以侵染状嵌布在石英、长石脉石矿物中。辉钼矿以独立矿物形式存在,有少量的钼华呈星点状分布在脉石矿物中。","['叶鸿', '黄智龙', '张杰']",60,"['地质学', '矿业工程']",['国家重点实验室“十二五”项目群项目II(SKLODG-ZY125-02)'],5,"['钼矿', '赋存状态', '澜沧老厂']",13,"['贵州大学矿业学院', '中国科学院地球化学研究所矿床地球化学国家重点实验室', '贵州省非金属矿产资源综合利用重点实验室']",53-56+65,5,300K,澜沧老厂深部钼矿体的赋存状态初步研究,2013
733,"本文研究了在正规溶液的假设下,运用由二元相图提取活度的方法,分别计算了FeO-V2O3和V2O3-SiO2渣系相图在2500 K温度下的活度。经加权平均计算,计算值和实验值的相对误差分别为13.34%和6.5%.这个精度处于Turkdogan提出的10%-30%的实验误差范围以内,可以作为进一步研究复杂含钒渣系时的热力学参考数据。","['李亚育', '刘振楠', '陶东平']",60,['化学'],"['国家自然科学基金资助项目(51090381', '50764006)']",5,"['正规溶液', '相图', '钒渣系', '活度计算']",14,['昆明理工大学冶金与能源工程学院'],57-60,4,194K,由FeO-V2O3和V2O3-SiO2二元相图提取活度,2013
